_id	pin	address	billing_city	current_delq_tax	current_delq_pi	prior_years	prior_delq_tax	prior_delq_pi	state_description	neighborhood	council_district	ward	public_works_division	pli_division	police_zone	fire_zone	longitude	latitude
935339	0094F00183000000	415 SPENCER AVE	PITTSBURGH, PA	0	0	1	1736.38	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97660939906018	40.39193458851855
935340	0094F00245000000	2723 WATERMAN AVE	PITTSBURGH, PA	0	0	1	68.71	1.14	Residential	Carrick	4	29	4	29	3	4-15	-79.97525701568622	40.39183928875463
935341	0094J00024000000	44 CARRICK AVE	PITTSBURGH, PA	0	0	1	543.22	0	Residential	Carrick	4	29	4	29	3	4-15	-79.98224443032527	40.388611573085754
935342	0094J00084000000	2410 GLENROY ST	PITTSBURGH, PA	0	0	1	1071.17	17.85	Residential	Carrick	4	29	4	29	3	4-15	-79.98091658204756	40.389504778090455
935343	0094J00085000000	GLENROY ST	CLAIRTON, PA	0	0	1	20.98	0.35	Residential	Carrick	4	29	4	29	3	4-15	-79.98083319554479	40.38947727092792
935344	0094J00089000000	2436 GLENROY ST	PITTSBURGH, PA	0	0	1	518.95	0	Residential	Carrick	4	29	4	29	3	4-15	-79.98006578891226	40.38920059269134
935345	0094J00134000000	11 FAIRHOPE ST	PITTSBURGH, PA	0	0	1	289.85	4.83	Residential	Carrick	4	29	4	29	3	4-15	-79.98081821936609	40.38899734205371
935346	0094J00222000000	52 CLIFTON ST	PITTSBURGH, PA	0	0	1	118.83	0	Residential	Carrick	4	29	4	29	3	4-15	-79.98069003859676	40.38852060752921
935347	0094K00171000000	209 SPENCER AVE	PITTSBURGH, PA	0	0	1	920.61	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97654459511676	40.38848159340303
935348	0094K00180000000	227 SPENCER AVE	PITTSBURGH, PA	0	0	1	2306.25	38.44	Commercial	Carrick	4	29	4	29	3	4-15	-79.97649432781766	40.38915639235229
935349	0094K00188000000	236 KIRK AVE	PITTSBURGH, PA	0	0	1	394.63	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97663184437033	40.38926739838618
935350	0094N00067000000	2600 BROWNSVILLE RD	MYRTLE BEACH, SC	0	0	1	4130.31	0	Commercial	Carrick	4	29	4	29	3	4-23	-79.97882709414074	40.38543895274176
935351	0094N00129000000	2420 BROWNSVILLE RD	PITTSBURGH, PA	0	0	1	633.45	10.56	Commercial	Carrick	4	29	4	29	3	4-23	-79.98207238739501	40.38663072685389
935352	0094N00165000000	2509 EDGAR ST	PITTSBURGH, PA	0	0	1	179.73	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98121352059059	40.38607899403695
935353	0094N00167000000	2515 EDGAR ST	PITTSBURGH, PA	0	0	1	905.7	739.63	Residential	Carrick	4	29	4	29	3	4-23	-79.98101474577187	40.38601961492111
935354	0094P00007000000	101 KIRK AVE	PITTSBURGH, PA	0	0	1	1742.11	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97833037419538	40.385904689045866
935355	0094P00014000000	115 KIRK AVE	PITTSBURGH, PA	0	0	1	266.4	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97822161195879	40.386338806771526
935356	0094P00034000000	134 KIRK AVE	PITTSBURGH, PA	0	0	1	1703.96	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97738205635859	40.38678751067292
935357	0094P00053000000	102 KIRK AVE	PITTSBURGH, PA	0	0	1	383.11	0	Residential	Carrick	4	29	4	29	3	4-15	-79.97796666625713	40.38577050415829
935358	0094P00156000000	1044 SANKEY CT	POMONA, CA	0	0	1	784.39	398.72	Residential	Carrick	4	29	4	29	3	4-15	-79.97542962566973	40.38649472803221
935359	0094P00244000000	2618 CHURCHVIEW AVE	CANTON, OH	0	0	1	1423.9	415.29	Residential	Carrick	4	29	4	29	3	4-15	-79.97753574331426	40.38526712054095
935360	0094P00283000000	2622 BROWNSVILLE RD	PITTSBURGH, PA	0	0	1	1391.4	0	Commercial	Carrick	4	29	4	29	3	4-23	-79.97838598303653	40.38468843025132
935361	0095A00211000000	2030 DARTMORE ST	PITTSBURGH, PA	0	0	1	74.88	23.72	Residential	Overbrook	4	32	4	32	3	4-23	-79.9961607622345	40.39211141978326
935362	0095A00251000000	DARTMORE ST	PITTSBURGH, PA	0	0	1	80.05	1.33	Residential	Overbrook	4	32	4	32	3	4-23	-79.99659402423714	40.39433727620714
935363	0095A00301000000	2024 FAIRLAND ST	PITTSBURGH, PA	0	0	1	1231.27	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99546436481043	40.39235026253016
935364	0095A00331000000	1934 FAIRLAND ST	PITTSBURGH, PA	0	0	1	2235.75	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99571943250848	40.39394386938984
935365	0095B00005000000	1935 FAIRLAND ST	PITTSBURGH, PA	0	0	1	461.66	7.7	Residential	Carrick	4	29	4	29	3	4-23	-79.99521133662853	40.39405919611697
935366	0095B00067000000	1950 WALTON AVE	PITTSBURGH, PA	0	0	1	668.65	144.87	Residential	Carrick	4	29	4	29	3	4-23	-79.99476973183678	40.39345482620289
935367	0095B00181000000	1937 LUCINA AVE	CANONSBURG, PA	0	0	1	937.77	0	Residential	Carrick	4	29	4	29	3	4-23	-79.9934476065551	40.39386472560698
935368	0095B00292000000	243 PARKFIELD ST	WASHINGTON, PA	0	0	1	11.4	0.19	Residential	Carrick	4	29	4	29	3	4-23	-79.9916605559602	40.393574019093755
935369	0095C00035000000	242 PARKFIELD ST	PITTSBURGH, PA	0	0	1	314.95	0	Residential	Carrick	4	29	4	29	3	4-23	-79.99098473888185	40.39366010351209
935370	0095C00037000000	244 PARKFIELD ST	PITTSBURGH, PA	0	0	1	884.38	0	Residential	Carrick	4	29	4	29	3	4-23	-79.99122795918913	40.39368353126249
935371	0095C00090000000	2006 PLATEAU ST	PITTSBURGH, PA	0	0	1	423.77	7.06	Residential	Carrick	4	29	4	29	3	4-23	-79.99043119332835	40.393757113956056
935372	0095C00098000000	2001 PLATEAU ST	PITTSBURGH, PA	0	0	1	250.2	4.17	Residential	Carrick	4	29	4	29	3	4-23	-79.99000721023617	40.394033225271514
935373	0095C00213000000	2010 DELLROSE ST	NEW YORK, NY	0	0	1	1040.68	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98729037813206	40.39432219118696
935374	0095D00180000000	127 E WOODFORD AVE	PITTSBURGH, PA	0	0	1	129.46	0	Residential	Carrick	4	29	4	29	3	4-12	-79.98404593058198	40.39336760876055
935375	0095D00243000000	10 E WOODFORD AVE	PITTSBURGH, PA	0	0	1	1126.46	0	Residential	Carrick	4	29	4	29	3	4-12	-79.98597620177101	40.39307768312523
935376	0095D00288000000	2120 HAZELDELL ST	PITTSBURGH, PA	0	0	1	1606.77	0	Residential	Carrick	4	29	4	29	3	4-12	-79.98537855136622	40.392541382852
935377	0095E00017000000	2041 DARTMORE ST	PITTSBURGH, PA	0	0	1	123.35	26.73	Residential	Overbrook	4	32	4	32	3	4-23	-79.99542023233924	40.39173782301697
935378	0095E00027000000	2109 DARTMORE ST	PITTSBURGH, PA	0	0	1	928.24	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99545272094339	40.391069336935736
935379	0095E00030000000	2115 DARTMORE ST	PITTSBURGH, PA	0	0	1	317.68	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99550116955544	40.39084471469305
935380	0095E00058000000	2067 DARTMORE ST	IRVING, TX	0	0	1	436.93	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99597303169942	40.389785158475966
935381	0095E00096000000	DARTMORE ST	PITTSBURGH, PA	0	0	1	154.4	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99599749918141	40.39165732494167
935382	0095F00025000000	2144 FAIRLAND ST	PITTSBURGH, PA	0	0	1	557.03	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99496087495649	40.39002330293576
935383	0095F00071000000	2045 FAIRLAND ST	CLAIRTON, PA	0	0	1	453.05	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99485175869889	40.39162139269162
935384	0095F00089000000	2084 WALTON AVE	DALLAS, TX	0	0	1	20.98	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99433160251289	40.39125010049816
935385	0095G00087000000	109 PARKFIELD ST	NEW YORK, NY	0	0	1	1214.14	20.24	Residential	Carrick	4	29	4	29	3	4-23	-79.9876772452411	40.391131735700455
935386	0095G00094000000	2216 DELLROSE ST	PITTSBURGH, PA	0	0	1	431.29	7.18	Residential	Carrick	4	29	4	29	3	4-23	-79.98734145712315	40.39066009009432
935387	0095G00108000000	2256 WESTMONT AVE	DES MOINES, IA	0	0	1	568.46	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98740268682185	40.389667472008256
935388	0095G00142000000	134 SANTRON AVE	PITTSBURGH, PA	0	0	1	610.2	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98864211911689	40.39035877360954
935389	0095H00097000000	2221 BROWNSVILLE RD	PITTSBURGH, PA	0	0	1	920.46	15.34	Commercial	Carrick	4	29	4	29	3	4-12	-79.98588473226611	40.39077426869502
935390	0095H00187000000	2202 LUTZ AVE	DES MOINES, IA	0	0	1	598.48	0	Residential	Carrick	4	29	4	29	3	4-12	-79.98541733252534	40.39113473647433
935391	0095J00027000000	40 QUEENSTON ST	PITTSBURGH, PA	0	0	1	588.97	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.99612174748796	40.38906876311715
935392	0095J00305000000	110 AARON AVE	PITTSBURGH, PA	0	0	1	24.83	0.41	Residential	Overbrook	4	32	4	32	3	4-25	-79.99938836255366	40.388185382156166
935393	0095K00044000000	300 QUEENSTON ST	DES MOINES, IA	0	0	1	1010.66	0	Residential	Overbrook	4	32	4	32	3	4-23	-79.993372876874	40.389131567151296
935394	0095L00060000000	2294 VALERA AVE	PITTSBURGH, PA	0	0	1	909.79	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98759682954082	40.38819035632287
935395	0095L00073000000	2317 ALMONT ST	PITTSBURGH, PA	0	0	1	723.02	156.65	Residential	Carrick	4	29	4	29	3	4-23	-79.98749538900775	40.38729617935656
935396	0095L00122000000	2261 ALMONT ST	PITTSBURGH, PA	0	0	1	1071.19	17.85	Residential	Carrick	4	29	4	29	3	4-23	-79.98862893435812	40.389296924803595
935397	0095L00124000000	2265 ALMONT ST	PITTSBURGH, PA	0	0	1	1109.31	0	Residential	Carrick	4	29	4	29	3	4-23	-79.988561316815	40.389167747488806
935398	0095L00232000000	2245 SPOKANE AVE	PITTSBURGH, PA	0	0	1	1787.83	0	Residential	Carrick	4	29	4	29	3	4-23	-79.98974341890477	40.38936571089631
935399	0095L00297000000	404 ARISTON AVE	PITTSBURGH, PA	0	0	1	543.26	9.05	Residential	Carrick	4	29	4	29	3	4-23	-79.99004264880764	40.387454829215365
935400	0095L00306000000	2316 SPOKANE AVE	PITTSBURGH, PA	0	0	1	574.3	0	Residential	Carrick	4	29	4	29	3	4-23	-79.9897055878292	40.38766807819237
935401	0095M00040000000	2369 BROWNSVILLE RD	PITTSBURGH, PA	0	0	1	1520.98	0	Commercial	Carrick	4	29	4	29	3	4-12	-79.98356773376831	40.38750513751163
935402	0095M00082000000	41 BECKS RUN RD	PITTSBURGH, PA	0	0	1	360.34	6	Residential	Carrick	4	29	4	29	3	4-12	-79.98359697194918	40.38890716824
935403	0095M00088000000	27 BECKS RUN RD	PITTSBURGH, PA	0	0	1	392.93	6.55	Residential	Carrick	4	29	4	29	3	4-12	-79.98374018025889	40.38842588804
